UserName,Summary
ishansharma7390,Opened threads after forever.
_gveshk_,"Yeahh! 
X kept beating threads with threads on X!"
anshulsoni2010,Nah 😔
agri.m.007,You missed my informative Threads dear
hassaanhuzaifa03,Welcome back 💫
aditya.mouryaa,Maybe Trending but memes for sure
tusharaher20,There is nothing to even miss here
shray_dhingra,Yes!
anantpeer,"Yes,, threading..
Btw congratulations on the book launch.."
digital.qasim,Nah! You are good
akkarbakkarhq,No cuz life is really slow here
_keys______,We missed you sir ordered your book
coachdarshanvyas,Congratulations Ishan 👏👍
spiritsinthehead,"@ishansharma7390
75 day hard here from today? Or you'll post only on Twitter?"
ruchi_gupta1984,Not really
kom_senapati,Nah
coachdarshanvyas,Book launch
manishdna,Same Old stuff 😂
